SKU,attribute:Classification,post_title,post_content,post_excerpt,parent_sku,attribute:Publication_Location,attribute:Publisher,attribute:number_of_pages,attribute:Hebrew_Year_of_Publication,attribute:Year_of_Publish,attribute:Price_Dolar,Price NIS and Vat,attribute:Date_Of_Update_Price,attribute:Publisher_Discount,attribute:isbn,_____,attribute:Author,misc,Name Eng,Price_NIS_No_Vat,Publisher_Code,Publishing_PlaceZip,Autjor_Name_Eng,Dewey_sort,Magazine,Fixed_Price
73860,110,Colloquial Arabic,(904),Colloquial Arabic,7261,Jerusalem,Rubin Mass,108,,1968,22,54,04-Mar-93,0,,,"Kapliwatzky,J. (Dr.)",___ 85,,,,,"Kapliwatsky,Jochanan",,FALSE,TRUE
73861,031,"Menachem Ussishkin,His Life & Work",with illustrations (910),"Menachem Ussishkin,His Life & Work",7261,Jerusalem,Rubin Mass,,,,15,38,04-Mar-93,0,,,Klausner,,,,,,,,FALSE,TRUE
73862,030,Mein Leipzig:Vorwort von Dr.J.Burg, (912),Mein Leipzig:Vorwort von Dr.J.Burg,7261,Jerusalem,Rubin Mass,150,,1982,25,62,04-Mar-93,0,,,"Kreutner,S.J.",,,,,,"Kreutner,S.J.",,FALSE,TRUE
73865,045,Legal Justice & Social Change,A Philosophy of Law (914a),Legal Justice & Social Change,7261,Jerusalem,Rubin Mass,256,,1990,85,214,04-Mar-93,0,965-09-0125-6,,"Levine,E.(Dr.Adv.)",,,,,,,,FALSE,TRUE
73866,030,Die Geschichte des Deutschen Zionismus:mit Ill., (915),Die Geschichte des Deutschen Zionismus,7261,Jerusalem,Rubin Mass,286,,1954,26,66,04-Mar-93,0,965-09-0187-6,,"Lichtheim,Richard",,,,,,,,FALSE,TRUE
73867,120,List of Photocopies in the Inst.of Hebrew Manuscripts:(II),"Belgium,Denmark,the Netherlands,Spain&Swi",List of Photocopies:II,7261,Jerusalem,Rubin Mass,230,,1964,39,96,04-Mar-93,0,,,,,,,,,,,FALSE,TRUE
73868,120,List of Photocopies in the Inst.of Hebrew Manuscripts:(III),Ministry of Educ.&Culture:Vatican (918),List of Photocopies:III,7261,Jerusalem,Rubin Mass,,,,39,96,04-Mar-93,0,,,,,,,,,,,FALSE,TRUE
73870,131,L'etude de L'ionosphere a l'aide des Satelites Artificiels, (920),L'etude de L'ionosphere a l'aide des Satelites Artificiels,7261,Jerusalem,Rubin Mass,80,,1965,22,54,04-Mar-93,0,,,"Mass,Jonathan",,,,,,,,FALSE,TRUE
73871,131,Medical&Biological Research in Israel,edited for the Hebrew University&Hadassah (921),Medical&Biological Research in Israel,7261,Jerusalem,Rubin Mass,582,,1960,39,98,04-Mar-93,0,,,"Prywes,M. (Prof.)",,,,,,,,FALSE,TRUE
73872,030,"Protokollbuch der Judischen Gemeinde Berlin,1723-1854","Redigiert von Shaul Esh,Unter Mitwirkung von","Protokollbuch der Judischen Gemeinde Berlin,1723-1854",7261,Jerusalem,Rubin Mass,684,,1962,79,132,04-Mar-93,0,,,"Meisel,J.George",,,,,,,,FALSE,TRUE
73873,030,Beitrage zur Geschichte der Juden in Mainz im 15.Jahrhundert,Eine quellenkritische unfersuchung,Beitrage zur Geschichte der Juden in Mainz im 15.Jahrhundert,7261,Jerusalem,Rubin Mass,,,,21,52,04-Mar-93,0,,,"Menczel,J.S.",___ 98,,,,,Menczel J.S,,FALSE,TRUE
73874,115,Twenty Graphic Prints (1973) Jewish&Arab Children:Album,,20 Graphic Prints (1973) Jewish&Arab Children,7261,Jerusalem,Rubin Mass,,,,26,66,04-Mar-93,0,,,"Menczel,P. (Dr.)",,,,,,,,FALSE,TRUE
73875,115,Jerusalem:Twenty Graphic Prints,by Jewish & Arab Children:Album (925),Jerusalem:20 Graphic Prints by Jewish&Arab Children,7261,Jerusalem,Rubin Mass,,,1976,26,66,04-Mar-93,0,,,"Menczel,Israel",,,,,,,,FALSE,TRUE
73876,115,Thirty Graphic Prints by Jewish & Druze Children,Album (926),Thirty Graphic Prints by Jewish & Druze Children,7261,Jerusalem,Rubin Mass,,,1979,26,66,04-Mar-93,0,,,"Menczel,Israel",,,,,,,,FALSE,TRUE
73877,115,Twenty Graphic Prints (1976) Jewish&Arab Children:Album,,20 Graphic Prints (1976) Jewish&Arab Children,7261,Jerusalem,Rubin Mass,,,,26,66,04-Mar-93,,,,"Menczel,P. (Dr.)",,,,,,,,FALSE,TRUE
73880,085,Extra Dimension,A New Approach to the Torah (928),Extra Dimension,7261,Jerusalem,Rubin Mass,80,,1964,19,48,04-Mar-93,0,,,"Munk,Max (Dr.)",,,,,,,,FALSE,TRUE
73881,110,Hebrew Language&Grammar,with key (929),Hebrew Language&Grammar:with key,7261,Jerusalem,Rubin Mass,,,,19,48,25-Feb-97,0,,,"Naor,M. (Dr.)",,,,,,Naor,,FALSE,TRUE
73882,001,Verwirklichung,Roman,Verwirklichung,7261,Jerusalem,Rubin Mass,336,,1982,18,44,04-Mar-93,0,,,"Peles,S.",___ 98,,,,,Peles.Schulamith,,FALSE,TRUE
73887,042,Co-operation in Israel & the World,second edition (935),Co-operation in Israel & the World,7261,Jerusalem,Rubin Mass,280,,1960,25,60,04-Mar-93,0,,,"Preuss,Walter",,,,,,,,FALSE,TRUE
73888,042,The Labour Movement in Israel,,The Labour Movement in Israel,7261,Jerusalem,Rubin Mass,240,,1966,25,60,04-Mar-93,0,,,"Preuss,Walter",,,,,,,,FALSE,TRUE
73890,035,Ancient Jewish Coins,"from the Persian Time to the 2nd Revolt;with 16 plats,6th ed. (938)",Ancient Jewish Coins,7261,Jerusalem,Rubin Mass,84,,1974,26,66,04-Mar-93,0,965-09-0004-7,,"Reifenberg,A. (Prof.)",___82,,,,,"Reifenberg,A.",,FALSE,TRUE
73891,100,Twelve Lectures in Theoretical Theology, (939),Twelve Lectures in Theoretical Theology,7261,Amsterdam,Rubin Mass,166,,1949,19,48,04-Mar-93,0,,,"Reiner,M.",___ 98,,,,,Reiner Markus,,FALSE,TRUE
73892,110,Mori-Mon Professeur,L'hebreu par vous-meme (940),Mori-Mon Professeur,7261,Jerusalem,Rubin Mass,340,,1986,22,54,25-Feb-97,0,965-09-0183-3,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73893,110,"Mori-My Teacher,Vol.1",Hebrew Self-Taught (940),"Mori-My Teacher,Vol.1",7261,Jerusalem,Rubin Mass,,,1987,19,48,04-Mar-93,0,965-09-0127-2,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73894,110,"Mori-My Teacher,Vol.2",Hebrew Self-Taught (941),"Mori-My Teacher,Vol.2",7261,Jerusalem,Rubin Mass,,,1987,19,48,04-Mar-93,0,965-09-0128-0,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73895,110,"Mori-El Hebreo sin Maestro,1:(Spanish)",(942),Mori-El Hebreo sin Maestro:Vol.1,7261,Jerusalem,Rubin Mass,,,,19,48,25-Feb-97,0,965-09-0129-9,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73896,110,"Mori-El Hebreo sin Maestro,2:(Spanish)",(943),Mori-El Hebreo sin Maestro:Vol.2,7261,Jerusalem,Rubin Mass,,,,19,48,04-Mar-93,0,965-09-0130-2,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73897,110,"Mori-Moi Ucitel,Vol.1 (Russian)",(944),"Mori-Moi Ucitel,Vol.1",7261,Jerusalem,Rubin Mass,,,,18,44,04-Mar-93,0,965-09-0131-0,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73898,110,"Mori-Moi Ucitel,Vol.2:(Russian)",(945),Mori-Moi Ucitel:Vol.2,7261,Jerusalem,Rubin Mass,,,,18,44,04-Mar-93,0,965-09-0132-9,,"Riklis,L.I.",,,,,,,,FALSE,TRUE
73899,100,Cod.Hebre.17(Nr.152)und 61(Nr.153),Hammburg;Herausgegeben in Faksimile und mit einem Vorwort (946),Cod.Hebre.17 (Nr.152) und 61 (Nr.153),7261,Jerusalem,Rubin Mass,506,,1980,390,990,04-Mar-93,0,,,Roth.E.,,,,,,,,FALSE,TRUE
73900,042,Problems of Government in the State of Israel,,Problems of Government in the State of Israel,7261,Jerusalem,Rubin Mass,108,,1956,19,48,04-Mar-93,0,,,"Samuel,Edwin",,,,,,,,FALSE,TRUE
73902,048,Palestine's Industrial Future,(949),Palestine's Industrial Future,7261,Haifa,Rubin Mass,284,,1946,28,70,04-Mar-93,0,,,"Schmorak,E. (Dr.)",___ 99,,,,,"Schamorak,E",,FALSE,TRUE
73903,100,"Religion, Philosophy & Judaism - vol. 1",From Christianity to Judaism (950),"Religion, Philosophy & Judaism - vol. 1",7261,Jerusalem,Rubin Mass,,,,50,110,25-Feb-97,0,965-09-0133-7,,"Shear-Yashuv,Aharon (Rabbi)",,,,,,,,FALSE,TRUE
73904,100,"Religion, Philosophy & Judaism - vol. 2 (in German):Heimkehr","(in German):Heimkehr,Autobiographie eines Rabbiners (950)","Religion, Philosophy & Judaism - vol. 2 (in German):Heimkehr",7261,Jerusalem,Rubin Mass,240,,1991,50,126,01-Aug-11,35,,,"Shear-Yashuv,Aharon (Rabbi)",,,,,,,,FALSE,TRUE
73906,100,"Religion, Philosophy & Judaism - vol. 3",The Jewish Religious Philosophy,"Religion, Philosophy & Judaism - vol. 3",7261,Jerusalem,Rubin Mass,,,,50,92,19-Nov-20,40,,,"Shear-Yashuv,Aharon (Rabbi)",,,,,,,,FALSE,FALSE
73913,030,Juifs en Guerre,,Juifs en Guerre,7261,Jerusalem,Rubin Mass,,,,15,38,04-Mar-93,0,,,"Tchernowitz,I.",,,,,,,,FALSE,TRUE
73922,031,Blue Box-the Bold,,Blue Box-the Bold,7261,Jerusalem,Rubin Mass,22,,,21,52,04-Mar-93,0,,,"Wahrhaft,M.",,,,,,,,FALSE,TRUE
73923,045,"The Jewish Yearbook of International Law,1948",(956),"The Jewish yearbook of International Law,1948",7261,Jerusalem,Rubin Mass,320,,1949,28,70,04-Mar-93,0,,,Feinberg&Dr.Stoyanowsky,,,,,,,,FALSE,TRUE
73926,060,Lilian Ruth Firedlander:a biography,,Lilian Ruth Firedlander:a biography,7261,Jerusalem,Rubin Mass,,,,22,54,24-Feb-98,,,,"Bentwich,Margery",,,,,,"Bentwich,Margery",,FALSE,TRUE
73928,025,Myth and Symbol,Symbolism in Prehistoric Religious,Myth and Symbol,7261,Jerusalem,Rubin Mass,346,,1991,54,132,24-Feb-98,,965-22-2245-3,,"Golan,Ariel",___ 98,,,,,"Golan,Ariel",,FALSE,TRUE
73933,120,Rationalized Perpetual Sunday Calendar,without blank day,Rationalized Perpetual Sunday Calendar,7261,Jerusalem,Rubin Mass,,,,11,28,24-Feb-98,,,,"Wahl,Zvi",___ 100,,,,,"Wahl,Zvi",,FALSE,TRUE
73934,031,La Palestine,Sa Capacite d'Absorption (Sionisme-Les Faits et les Idees),La Palestine,7261,Jerusalem,Rubin Mass,72,,1947,13,32,07-Aug-98,0,,,"Weitz,Joseph",,,,,,"Weitz,Joseph",,FALSE,TRUE
75150,005,World in a Mirror,Selection of texts from P.Muhsam's own microcosm of thought & belief,World in a Mirror,7261,Jerusalem,Rubin Mass,64,,1993,18,46,01-Aug-93,35,,,"Muhsam,Paul",___ 101,,,,,"Muhsam,P.",,FALSE,TRUE
75161,060,The Sage of Leipzig:Rabbi Simon Hurwitz,"ed.of the Mahzor Vitri,his Life&his Writings,with append.",The Sage of Leipzig,7261,Jerusalem,Rubin Mass,252,,1993,33,82,01-Aug-93,35,,,"Shereshevsky,Esra",Hebrew Catalog:No.75156,,,,,"Shereshevsky,E.",,FALSE,TRUE
78374,042,Israel's New Future Interviews,"M.Arens,M.Ben-Porat,A.Eban,M.Friedman,A.B.Yehoshua,D.Elazar&others",Israel's New Future Interviews,7261,Jerusalem,Rubin Mass,240,,1994,28,69,25-Feb-97,35,965-21-8015-7,,"Gerstenfeld,Manfred",Pub.:R.Mass & Jerusalem Center for Public Affairs,,,,,"Gerstenfeld,M.",,FALSE,TRUE
81315,060,Kalman Jacob Mann,Reflections on a Life in Health Care;autobiography of Hadassah general-director,Kalman Jacob Mann,7261,Jerusalem,Rubin Mass,334,,1994,32,80,31-Oct-94,0,965-09-0126-4,,"Waserman,Manfred (ed.)",,,,,,"Waserman,M.(ed.)",,FALSE,TRUE
82105,032,Sephardi Jews in Occupied France,"Under the Tyrant's Heel,1940-1944,Holocaust in France,Documents",Sephardi Jews in Occupied France,7261,Jerusalem,Rubin Mass,420,,1994,39,96,28-Nov-94,30,965-09-0051-9,,"Amipaz-Silber,Gitta",,,,,,"Amipaz-Silber,G.",,FALSE,TRUE
82130,120,Discovering Israel,"Through its Traditions Customs&Concepts;Another Type of Guide,many pictures",Discovering Israel,7261,Jerusalem,Rubin Mass,138,,1994,22,54,23-Nov-94,35,965-09-0050-0,,"Stock,Ernest",,,,,,"Stock,Ernest",,FALSE,TRUE
84050,032,Zwischen Finsternis und Licht:,50 Jahre nach Bergen-Belsen;Erinnerungen eines Leipziger Juden,Zwischen Finsternis und Licht,7261,Jerusalem,Rubin Mass,528,,1995,53,132,07-Mar-95,35,965-09-0054-3,,"Samson,Schlomo",,,,,,"Samson,S.",,FALSE,TRUE
88040,041,The Masoretic Chant of the Bible,research with notes & many tables;with Hebrew synopsis,The Masoretic Chant of the Bible,7261,Jerusalem,Rubin Mass,428,,1995,62,156,04-Mar-97,35,965-09-0061-6,,"Weil,Daniel Meir",Hebrew:88022,,,,,"Weil,D.M.",,FALSE,TRUE
88608,042,The Trance of Terror,"Psyco-Religious FundaMentalism; Roots and Remedies; A first study that scrutinizes the psycological mechanisms that social systems use to create the ""robotic"" person; translation of ""mi-mikdash le-Midrash"", dealing with religious and Judaic terms",The Trance of Terror,7261,Jerusalem,Rubin Mass,236,,2006,50,88,23-Jan-07,35,965-09-0198-1,,,http://www.publishersrow.com/Preview/index.asp?bid=523,,,,,"Rotenberg,Mordechai",,FALSE,FALSE
88751,030,"Protokollbuch der Judischen Gemeinde Berlin,1723-1854","Redigiert von Shaul Esh,Unter Mitwirkung von","Protokollbuch der Judischen Gemeinde Berlin,1723-1854 (FREE)",7261,Jerusalem,Rubin Mass,684,,1962,60,132,04-Jun-07,0,,,,,,,,,,,FALSE,FALSE
93177,001,Der Ring Des Prometheus,Denksteine im Herzen;Ein auf Wahrheit beruhende Romantrilogie (German),Der Ring Des Prometheus,7261,Jerusalem,Rubin Mass,584,,1996,32,80,22-Dec-96,35,965-09-0069-1,,"Sella,Dorothea", (____ _____)DM54,,,,,"Sella,D.",,FALSE,TRUE
93953,110,Where To Go?,,Where To Go?,7261,Jerusalem,Rubin Mass,,,2017,19,59,18-Oct-17,35,,,,,,,,,"Covensky,Edith",,FALSE,FALSE
94555,085,The Book of Samuel; Part 1 (sale - website),"Studies in History, Historiography, Theology and Poetics Combined; Part I: The Story and History of David and His Kingdom; With many photos, and a large bibliography; An inter-disciplinary interpretation of David’s story and history",The Book of Samuel; Part 1 (sale - website),7261,Jerusalem,Rubin Mass,576,,2018,38.3,128,30-May-18,40,978-965-09-0348-0,,,,,,,,"Garsiel,Moshe",,FALSE,FALSE
94556,085,The Book of Samuel; Part 1 (sale - prospect; incl. delivery),"Studies in History, Historiography, Theology and Poetics Combined; Part I: The Story and History of David and His Kingdom; With many photos, and a large bibliography; An inter-disciplinary interpretation of David’s story and history",The Book of Samuel; Part 1 (sale - prospect; incl. delivery),7261,Jerusalem,Rubin Mass,576,,2018,68,128,30-May-18,40,978-965-09-0348-0,,,,,,,,"Garsiel,Moshe",,FALSE,FALSE
97339,001,Ein Traum Am Rande Der Wahrheit,"Roman von fuenf Generationen in Deutschland,Palaestina,Israel (German)",Ein Traum Am Rande Der Wahrheit,7261,Jerusalem,Rubin Mass,880,,1997,35,88,11-Feb-98,35,965-09-0074-8,,"Apt,L.",___ 97,,,,,"Apt (Bat-Shlomo),Lou",,FALSE,TRUE
99549,032,Between Darkness and Light,"60 years after ""Kristallnacht""; memories, documents (published also in Hebrew and German)",Between Darkness and Light,7261,Jerusalem,Rubin Mass,512,,1998,53,132,09-Mar-98,35,965-09-0090-x,,,,,,,,"Samson,Shlomo",,FALSE,TRUE
99550,030,The Glorious Victory of Truth,"The Tiszaeszlar Blood Libel Trial,1882-3,a historical-legal-medical research",The Glorious Victory of Truth,7261,Jerusalem,Rubin Mass,176,,1998,48,120,24-Feb-98,35,965-09-0079-9,,,,,,,,"Stern,Edith",,FALSE,TRUE
