Serial,id,title,description,tatik,supplier code,publication locatio ,name of publication,number of pages,year of hebrew public,year of publication,price in $,price in NIS,date of price update,discount,mastav,status,name of author,misc,name at eng,price nis no vat,code publisher,code of publishing,outhor name ,,,מחיר קבוע
100050,10,"סדן, כרך ג'","מחקרים בספרות עברית, עיונים ביצירת י""ל גורדון","Sadan,3",6305,"ת""א","אונ' ת""א",346,,1998,30,58.5,1998-03-27 0:00:00,20,,,"שמיר,זיוה (עורכת)",,,,,,"Shamir,Ziva (ed.)",,FALSE,FALSE
100051,86,ספר גן רוה,גן רווה על התורה;מוצא מים-שינויי נוסחאות ומקורות; דברי חנוך-דברי ביאור,Sefer Gan Rave,7910,ירושלים,מכון נופת צופים,440,,1998,26,,1998-03-27 0:00:00,,,,חנוך העניך ערזאהן מזגיערז,,,35,,,hanokh MiZgierz,,FALSE,FALSE
100052,81,הגדה של פסח - גאולת אברהם,פירושו של רבינו אברהם בן הגאון מוילנא,Hagadah Shel Pesah-Ge'ulat Avraham,7910,ירושלים,מכון אוצר הפוסקים,63,,1997,11,,1998-03-27 0:00:00,,,,בן הגאון מוילנא,"תד 5110,י-ם 02-5382515",,15,,,Ben Haga'on MiVilna,,FALSE,FALSE
100053,81,הגדה של פסח - הגדת הרעיון,"מבואר על-פי חז""ל והשקפת עולמה של תנועת כהנא; הלכות ועיונים:דוד כהן",hagadah Shel Pesah-Hagadat Haraayon,7910,כפר תפוח,ישיבת הרעיון היהודי,128,,1998,15,,1998-03-27 0:00:00,,,,"כהנא,בנימין זאב",03-9366217,,20,,,"Kahanah,B.Z.",,FALSE,FALSE
100054,81,הגדת המדרש המבואר=הגדה של פסח,"לקט מדרשי חז""ל בלשונם המפוזרים במדרש רבה, עם ביאור מלא",Hagadat Hamidrash Hamevo'ar-Hagadah Shel Pesah,7910,ירושלים,מכון המדרש המבואר,334,,1998,24,,1998-03-27 0:00:00,,,,,02-5710811,,32,,,,,FALSE,FALSE
100055,81,הגדה של פסח (עם פסקי הרב מרדכי אליהו),"עם תפילות ובקשות של הרב יוסף חיים, ע""פ פסקי ר' יוסף קארו ורבי יוסף חיים","Hagadah Shel Pesah, Im Piske Harav Mordekhai Eliahu",7910,ירושלים,דרכי הוראה לרבנים,128,,1998,15,,1998-03-27 0:00:00,,,,,,,20,,,,,FALSE,FALSE
100056,95,ספר ויאמר אברהם-הלכות בשר בחלב,"יורה דעה, סימנים פז-צז; כולל פסקי הלכות עם הערות וביאורים",Sefer Vayomer Avraham-Basar Behalav,7910,ירושלים,המחבר,130,,1998,22,,1998-03-27 0:00:00,,,,"עדס,אברהם חיים",02-6413506,,30,,,"Ades,A.H.",,FALSE,FALSE
100057,10,"מפתח למוספים ולמדורים הספרותיים, תשנ""ב,ג,ד,ז; 4 כרכים","של העיתונות העברית היומית בישראל;לפי מחברים ונושאים,ביקורות לספרים בעברית וביידיש ובלועזית; כל כרך כ-500 עמ'","Mafte'ah Lemusafim Sifrutiim,5752-4,7; 4 vols.",9999,"ר""ג",אונ' בר-אילן,,,1998,428,,1998-03-27 0:00:00,0,0792-2485,,"רבינוסוביץ,חיה ואחרים (עורכים)","רבקה תמימה-קלנר, הספריה המרכזית,אונ' בר-אילן, פקס03-5349233, טל'03-5318164",,820,,,"Binosovits,H.&Others",,FALSE,FALSE
100058,1,ועם רוחי גווייתי,"רומן נוגע ללב, קומי,גרוטסקי, ברוטלי ; בסדרת ""הספריה החדשה""",Ve'Im Ruhi Geviyati,7902,"ת""א",הקיבוץ המאוחד-ספרי סימן קריאה,336,,1998,24,62,1998-03-30 0:00:00,30,,,"לאור,יצחק",,,,,,"Laor,Y.",,FALSE,FALSE
100059,1,סקסופון,"רומן על ישראלית צעירה ויפה, שהיא גלגול עם דיבוק של אישה זקנה, ביתו של משיח השקר יעקב פראנק",Sexsophone,7502,"ת""א",בבל,272,,1998,17,55,1998-03-30 0:00:00,30,,,"ק""ן,ניצה",,,,,,"Kann,N.",,FALSE,FALSE
100060,5,הלא,,Ha-Lo,7902,ירושלים,כרמל,100,,1998,13,42,1998-03-30 0:00:00,30,965-407-180-0,,"בר-יוסף,חמוטל",,,,,,"Bar-Yosef,H.",,FALSE,FALSE
100061,5,שירי אהבה,"אלבום שיריו של אלתרמן בתבנית אלבומית, מאוייר על ידי הצייר והמאייר אבנר כץ",Shire Ahava,7902,"ת""א",הקיבוץ המאוחד,144,,1998,59,139,1998-03-30 0:00:00,30,965-02-0109-2,,"אלתרמן,נתן/כץ,אבנר",,,,,,Alterman&Katz,,FALSE,FALSE
100062,46,עוד אני מדבר,שיחות של עיתונאי מפורסם על בעיות החברה בישראל,Od Ani Medaber,7502,ירושלים,כתר,364,,1998,21,69,1998-03-30 0:00:00,30,965-07-0744-1,,"לפיד,יוסף (טומי)",,,,,,"Lapid,J.",,FALSE,FALSE
100092,5,מחומשים,"""דמויות בראשית משוררות עצמן בין דפי הספר""",Mehumashim,7902,"ת""א",תמוז,80,,1997,11,33,1998-03-31 0:00:00,25,,,"כהן,אליעז",,,,,,"Kohen,Eliaz",,FALSE,FALSE
100093,1,מאחורי השפופרת,סיפורים מנופי הארץ,Me'ahore Hashefoferet,7502,"ת""א",רשפים,144,,1998,12,40,1998-03-31 0:00:00,30,965-418-144-4,,"איתן,שולמית",,,,,,"Eitan,Shulamit",,FALSE,FALSE
100094,60,בשירות הציבור,זכרונותיו של איש מפלגת העבודה בשירות הציבור למעלה מחמישים שנה,Besherut Hatsibur,7502,"ת""א",רשפים,154,,1998,12,40,1998-03-31 0:00:00,30,965-418-145-2,,"צחר,משה",,,,,,"Tsahar,Moshe",,FALSE,FALSE
100095,1,מסעות יצחק היהודי ואבו אלעבאס הפיל,"בין בגדאד לאאכן אשר בארץ הפראנקים, בימיו של הקיסר קארולוס הגדול,רומן היסטורי",Masa'ot Itshak Hayehudi VeAbu ElAbas Hapil,7502,ירושלים,תיבל,266,,1997,21,68,1998-03-31 0:00:00,30,965-222-843-5,,"אברהם,פילו מרדכי (תרגם מגרמנית:אשר וילכר)",,,,,,"Avraham,Filo M.",,FALSE,FALSE
100096,42,ישראל חברה רב-תרבותית,"חינוך לסובלנות וכבוד האדם:היסטוריה,סוציולוגיה,ספרות,מוסיקה,טבע ומאכלי עדות בישראל",Israel-Hevra Rav-tarbutit,7502,קרית ביאליק,אח,248,,1998,16,48,1998-03-31 0:00:00,25,965-267-147-9,,"אשרת,ציפורה (עורכת)",,,,,,"Oshrat,Tsipora",,FALSE,FALSE
100097,115,אמהות,"אלבום תצלומים של 160 אמהות מרחבי העולם :הריון ולידה, גידול תינוקות,טיפול באמהות זקנות ועוד; מרגש",Imahot,7502,בני ברק,סטימצקי,208,,1998,31,98,1998-03-31 0:00:00,30,,,"אורבך,עליזה",,,,,,"Orbakh,Aliza",,FALSE,FALSE
100098,115,דוד; שמואל-מלכים,"הטקסט המקראי בליווי קטעי שירה, ציורים צבעוניים של הצייר שוובל, צילומים; תבנית אלבומית","David, Shmuel-Melakhim",7502,ירושלים,,142,,1997,58,190,1998-03-31 0:00:00,30,965-219-018-7,,שוובל,,,,,,Schwebel,,FALSE,FALSE
100099,50,Prospects of Investment in the W.Bank Northern Governorates (Arabic),"Conference Proceedings,2-3 July 1997",Prospects of Investment-W.Bank...(Arabic),6002,Nablus,,242,,1997,30,,1998-03-31 0:00:00,0,,,,,,30,,,"Awartani,H.(ed.)",,FALSE,FALSE
100100,50,Water & Environment:Feb.98 (Arabic-English),A six-monthly magazine dealing in  Water & Environmental issues,Water & Environment:Feb.98,7704,Jerusalem,Palest.Hydrol.Group,,,1998,30,,1998-03-31 0:00:00,0,,,,"Palest.Hydrology Group:POB 25220 Shu'afat,Jer.FAX:5857688,Tel:6565890",,30,,,"Rabman Al-Tamimi,A.",,FALSE,FALSE
